epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,64.837,0.41014,0.94942,0.55737,0.911,0.80308,0.85512,0.87998,0.52062,0.79576,0.85,0.86534,0.43822,1.68454,2.74811,1.21955,1.44862,1.60323e-05,1.60323e-05,1.60323e-05
87,65.4739,0.66303,1.63933,0.77419,1.0871,0.80308,0.85512,0.87998,0.52062,0.79576,0.85,0.86534,0.43822,1.68454,2.74811,1.21955,1.44862,1.52077e-05,1.52077e-05,1.52077e-05
88,66.1542,0.3456,0.82524,0.39645,0.9086,0.78608,0.86455,0.88003,0.5198,0.7653,0.85,0.86454,0.43824,1.69982,2.78975,1.25559,1.44627,1.43596e-05,1.43596e-05,1.43596e-05
89,66.7926,0.46058,0.88533,0.42064,0.9694,0.78608,0.86455,0.88003,0.5198,0.7653,0.85,0.86454,0.43824,1.69982,2.78975,1.25559,1.44627,1.34879e-05,1.34879e-05,1.34879e-05
90,67.5928,0.45007,1.06273,0.34613,0.92233,0.78608,0.86455,0.88003,0.5198,0.7653,0.85,0.86454,0.43824,1.69982,2.78975,1.25559,1.44627,1.25927e-05,1.25927e-05,1.25927e-05
91,74.7182,0.37707,0.72916,0.36632,0.85819,0.78608,0.86455,0.88003,0.5198,0.7653,0.85,0.86454,0.43824,1.69982,2.78975,1.25559,1.44627,1.16739e-05,1.16739e-05,1.16739e-05
92,75.4328,0.36322,0.70159,0.31461,0.78291,0.72893,0.85778,0.87918,0.51024,0.71782,0.85,0.86423,0.43561,1.68885,2.79513,1.21601,1.46079,1.07315e-05,1.07315e-05,1.07315e-05
93,76.089,0.45063,0.76525,0.42816,0.87245,0.72893,0.85778,0.87918,0.51024,0.71782,0.85,0.86423,0.43561,1.68885,2.79513,1.21601,1.46079,9.76562e-06,9.76562e-06,9.76562e-06
94,76.7286,0.35404,0.78166,0.37004,0.85405,0.72893,0.85778,0.87918,0.51024,0.71782,0.85,0.86423,0.43561,1.68885,2.79513,1.21601,1.46079,8.77613e-06,8.77613e-06,8.77613e-06
95,77.3543,0.40494,0.92306,0.44211,0.85944,0.72893,0.85778,0.87918,0.51024,0.71782,0.85,0.86423,0.43561,1.68885,2.79513,1.21601,1.46079,7.76308e-06,7.76308e-06,7.76308e-06
96,78.0139,0.46717,0.98719,0.42136,0.96923,0.75446,0.8285,0.87887,0.50955,0.75446,0.8285,0.87083,0.43512,1.70405,2.83623,1.16391,1.48374,6.72648e-06,6.72648e-06,6.72648e-06
97,78.6563,0.40306,0.75135,0.33201,0.84208,0.75446,0.8285,0.87887,0.50955,0.75446,0.8285,0.87083,0.43512,1.70405,2.83623,1.16391,1.48374,5.6663e-06,5.6663e-06,5.6663e-06
98,79.4826,0.34243,0.79132,0.29992,0.90659,0.75446,0.8285,0.87887,0.50955,0.75446,0.8285,0.87083,0.43512,1.70405,2.83623,1.16391,1.48374,4.58257e-06,4.58257e-06,4.58257e-06
99,80.111,0.31585,0.65537,0.34126,0.84071,0.75446,0.8285,0.87887,0.50955,0.75446,0.8285,0.87083,0.43512,1.70405,2.83623,1.16391,1.48374,3.47528e-06,3.47528e-06,3.47528e-06
100,80.7922,0.34585,0.70245,0.2632,0.81206,0.64609,0.6777,0.71334,0.50958,0.83524,0.81557,0.87097,0.43493,1.74364,2.85585,1.13408,1.52632,2.34442e-06,2.34442e-06,2.34442e-06
