epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
103,7413.54,1.26219,1.09946,1.48292,0.68776,0.46792,0.50613,0.24749,1.76765,1.3728,1.74497,0.00159608,0.00159608,0.00159608
104,7480.67,1.26291,1.11502,1.50844,0.69467,0.47683,0.51679,0.25122,1.75698,1.31716,1.72258,0.00159212,0.00159212,0.00159212
105,7547.86,1.26268,1.15295,1.48236,0.71584,0.46642,0.51703,0.24718,1.79251,1.32118,1.71894,0.00158816,0.00158816,0.00158816
106,7615.18,1.23854,1.08114,1.46352,0.69494,0.47383,0.51924,0.24992,1.78283,1.33599,1.72611,0.0015842,0.0015842,0.0015842
107,7682.35,1.24743,1.11074,1.48245,0.72862,0.47167,0.5222,0.25227,1.77582,1.27275,1.72656,0.00158024,0.00158024,0.00158024
108,7750.11,1.24084,1.08129,1.46445,0.71005,0.46248,0.51521,0.25394,1.75593,1.3123,1.71836,0.00157628,0.00157628,0.00157628
109,7816.92,1.25331,1.11915,1.49751,0.71471,0.46023,0.51054,0.25937,1.72749,1.35792,1.72205,0.00157232,0.00157232,0.00157232
110,7884.48,1.24176,1.12896,1.48108,0.73246,0.4667,0.51953,0.25989,1.75118,1.30361,1.72467,0.00156836,0.00156836,0.00156836
111,7951.16,1.23534,1.07746,1.47216,0.72088,0.46623,0.51792,0.25831,1.75611,1.36762,1.74416,0.0015644,0.0015644,0.0015644
112,8017.93,1.23297,1.07518,1.46008,0.71155,0.46979,0.51698,0.25344,1.76365,1.31741,1.7367,0.00156044,0.00156044,0.00156044
113,8085.04,1.23731,1.11586,1.48937,0.71472,0.46111,0.51328,0.25759,1.75197,1.32444,1.71824,0.00155648,0.00155648,0.00155648
114,8151.97,1.23658,1.10776,1.47245,0.69805,0.47429,0.51674,0.25731,1.75075,1.31981,1.73426,0.00155252,0.00155252,0.00155252
